RESPONDENT_ID,LANGUAGE_CODE,SURVEY_TYPE,Q01. In what country were you born?,Q02. In what year were you born?,Q03. In what year did you move to the United States?,Q04. In what ZIP code do you live?,Q05. What is your preferred language?,Q06. How well would you say you speak English?,Q07-Verbatim. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?,Q07_CODE1. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?-1,Q07_CODE2. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -2,Q07_CODE3. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -3,"Q08. Overall, how much of a difference do you think you can have in making your neighborhood a better place to live?",Q09. How interested are you in the presidential election this year?,"Q10_01. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 1","Q10_02. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 2","Q10_03. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 3","Q10_04. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 4","Q10_05. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 5","Q10_06. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 6","Q10_07. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 7","Q10_08. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 8","Q10_09. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 9","Q10_10. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 10","Q10_11. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 11","Q10_12. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 12","Q10_13. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 13","Q13_OTHER. Other: (If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use? )",Q11. How easy is it to find information about elections and candidates in your preferred language?,Q12_01. Please tell us if you have done any of the following activities in the past 2 years. - 1,Q12_02. Please tell us if you have done any of the following activities in the past 2 years. - 2,Q12_03. Please tell us if you have done any of the following activities in the past 2 years. - 3,Q12_04. Please tell us if you have done any of the following activities in the past 2 years. - 4,Q12_05. Please tell us if you have done any of the following activities in the past 2 years. - 5,Q12_06. Please tell us if you have done any of the following activities in the past 2 years. - 6,Q12_07. Please tell us if you have done any of the following activities in the past 2 years. - 7,Q12_08. Please tell us if you have done any of the following activities in the past 2 years. - 8,Q12_09. Please tell us if you have done any of the following activities in the past 2 years. - 9,"Q13. Some people are registered to vote, while others are not. Which of the following best describes you?","Q13_OTHER. Other: (Some people are registered to vote, while others are not. Which of the following best describes you?)","Q14. If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote?","Q14_OTHER. Other: (If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote? )",Q15. Did you vote in the Presidential Election last November 2012?,"Q16. If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?","Q16_OTHER. Other: (If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?)",Q17. How likely is it that you will vote in the presidential election this November 2016?,Q18. How often have you voted in state and local elections?,"Q19. Have you ever been contacted and encouraged to vote by a candidate, political party, or other organization?",Q20. What is the highest level of education that you have completed?,Q21. Do you and your family own the place where you are living now or do you rent?,Q21_OTHER. Other: (Do you and your family own the place where you are living now or do you rent?),Q22. How many people (adults and children) currently live in your household?,Q23. Please select your gender:,Q23_OTHER. Other: (Please select your gender:),Q24. What was your total combined household income in 2015 before taxes?,"Q25. When it comes to getting around the city, which of these statements best describes your situation?","Q25_OTHER. Other: (When it comes to getting around the city, which of these statements best describes your situation?)",Q26. How did you hear about Seattle Votes?
942,English,WEB,Malaysia,1979,1999,98052,English,Very well,"Education will be the first priority for new immigrant or refugee. They have communication barrier, culture barrier, getting a job or being self sufficient might be not easy.", Education/General educational resources, , ,I can make a small difference,I am very interested,Internet,Friends and family,Radio in English, , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person","I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate, , , , ,I am registered to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Very likely,Never,No,College degree,We own our home, ,7,Female, ,"More than $150,000",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
943,Chinese,WEB,China,1985,2006,98052,Chinese,Very well,"accessing services, language barrier",General increase in public services/Increased access to information, Language help/Language specific education, ,I can make a moderate difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Rarely,No,Graduate or professional degree,We own our home, ,3,Female, ,"$100,000 to $150,000",I usually drive the car that I own, ,Internet (non specific)
944,Chinese,WEB,China,1972,2006,98052,English,Well,Improve English skills, Language help/Language specific education, , ,I can make a moderate difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers,Newspapers in English,Ethinic radio,My union or work place,Radio in English, , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Very likely,Rarely,No,College degree,We own our home, ,4,Male, ,"More than $150,000",I usually drive the car that I own, ,Internet (non specific)
945,Chinese,WEB,China,1988,2011,98052,Chinese,Well,Disallow marijuana stores near communities and school areas, Other, , ,I can make a small difference,I am very interested,Internet, , , , , , , , , , , , , ,Somewhat easy,I sent a message on Facebook or other social media about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Never,Yes,Graduate or professional degree,We own our home, ,1,Male, ,"$100,000 to $150,000",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
946,Chinese,WEB,China,1989,2012,98052,Mandarin,Very well,Efficiency in transportation and public roads. Also more effective policing works that focuses less on traffic fines. ??, Public transportation, , ,I can make no difference at all,I am not interested,Internet, , , , , , , , , , , , , ,Very easy,"I contacted a public official through a letter, email, phone, or in-person", , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Never,No,College degree,We own our home, ,2,Male, ,"More than $150,000",I usually drive the car that I own, , 
947,Chinese,WEB,China,1984,2013,98052,Chinese,Well,"No drug store in redmond, no refugee camp in Education Hill", Improve safety/Reduce crime, , ,I can make a small difference,I am somewhat interested,Internet,Friends and family,Newspapers in English, , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Somewhat likely,Never,No,College degree,We own our home, ,1,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,Other
948,Chinese,WEB,China,1979,2006,98052,Chinese,Not well,The proposal of homeless camp on hill education ban!, Education/General educational resources, , ,I can make a small difference,I am very interested,Internet, , , , , , , , , , , , , ,It is difficult,"I contacted a public official through a letter, email, phone, or in-person", , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,GC only,Not likely at all,Sometimes,No,Graduate or professional degree,We own our home, ,4,Male, ,"More than $150,000",I usually drive the car that I own, ,Internet (non specific)
949,English,WEB,China,1985,2008,98052,English,Very well,Long waiting time after I140 is approved. Cannot change employer during such long wait.,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make no difference at all,I am not interested,Internet, , , , , , , , , , , , , ,Somewhat easy,I sent a message on Facebook or other social media about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,I wasn't a citizen then. I would be committing a felony if I had voted.,Not likely at all,Never,I don't remember,Graduate or professional degree,We rent our home, ,1,Male, ,"$100,000 to $150,000","I own a car, but I usually take public transportation", ,Social Media / Facebook / Online meet up groups / All online social media sites
976,English,PAPER,Vietnam,1967,1990,98052,Vietnamese,Well,NA, , , ,I can make a small difference,I am somewhat interested,Internet,Ethnic newspapers,Newspapers in English, , , , , , , , , , , ,I have not found any, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Somewhat likely,Sometimes, ,College degree,We own our home, ,4,Male, ,"More than $150,000",I usually drive the car that I own, , 
951,English,WEB,China,1974,2011,98052,English,Well,"We work hard, good citizen, wait five years to get green card.",Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a big difference,I am very interested,Internet,Radio in English, , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate, , ,I am not currently eligible to register to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Not likely at all,Never,No,College degree,We own our home, ,4,Male, ,"More than $150,000",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
952,Chinese,WEB,China,1976,2014,98052,Chinese,Not at all,nothing now, Don’t know, , ,I can make no difference at all,I am somewhat interested,Internet, , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,Not citizens,Somewhat likely,Never,No,High school graduate or GED,We rent our home, ,5,Male, ,"$11,880 or less",I usually drive the car that I own, ,Internet (non specific)
953,Chinese,WEB,China,1984,2012,98052,Mandarin,Well,We do not want to have a tent city and marijuana shops in education hill. My family and I would like to try to move out of the Redmond area and go to California., Elderly services, , ,I can make a small difference,I am very interested,Internet,My union or work place, , , , , , , , , , , , ,Somewhat easy,"I contacted a public official through a letter, email, phone, or in-person",I have given money to an organization or candidate, , , , , , , ,I am not currently eligible to register to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Somewhat likely,Rarely,No,Graduate or professional degree,We own our home, ,2,Male, ,"More than $150,000",I usually drive the car that I own, , 
954,Chinese,WEB,China,1979,2013,98052,Chinese,Well,The government should ban cannabis sale near communities and schools, Other, , ,I can make a moderate difference,I am very interested,Internet, , , , , , , , , , , , , ,Somewhat easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,I sent a message on Facebook or other social media about a social or political issue, , , , , , ,I am not currently eligible to register to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Somewhat likely,Never,No,Graduate or professional degree,We rent our home, ,3,Male, ,"$100,000 to $150,000","I own a car, but I usually take public transportation", ,Social Media / Facebook / Online meet up groups / All online social media sites
955,English,WEB,India,1975,2011,98052,English,Very well,vote for local policies, Lack of representation/Leadership in community/Ability to vote, , ,I can make a big difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Not likely at all,Never,No,Graduate or professional degree,We rent our home, ,4,Male, ,"$100,000 to $150,000",I usually drive the car that I own, , 
956,English,WEB,China,1987,2012,98052,English,Very well,"Some hidden discrimination/bad treatment in everyday activities, e.g. some cashiers in starbucks will smile to the customers standing in front of me, but behave quite cold to me.",Discrimination/Social justice/Equality, , ,I can make a big difference,I am very interested,Internet,Newspapers in English,Library, , , , , , , , , , , ,Very easy,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,I have given money to an organization or candidate, , , , , , ,I am not currently eligible to register to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Not likely at all,Never,I don't remember,Graduate or professional degree,We own our home, ,5,Female, ,"$100,000 to $150,000","I own a car, but I usually take public transportation", ,At work / through employer
957,Spanish,WEB,Peru,1957,1998,98052,English,Very well,The language barrier. The lack of English classes for refugees and immigrants.,Discrimination/Social justice/Equality, , ,I can make a big difference,I am very interested,Internet,Television in English,Newspapers in English,Library, , , , , , , , , , ,It is difficult, , , , , , , , , ,I am registered to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,It was not an American citizen,Very likely,Never,Yes,Graduate or professional degree,We own our home, ,2,Female, ,"More than $150,000","I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
958,English,WEB,Iran,1964,2008,98052,English,Very well,"Fitting in the new community, learn about the opportunities. New immigrant do not have any idea what is available to them and what is their rights.", Other, , ,I can make a moderate difference,I am very interested,Internet,Television in English,My community organization(s)/service provider(s), , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate,I volunterred for an election activity such as a phone bank or registering people to vote, , ,I am registered to vote, , , ,No,Not in the US at that time,I couldn't vote at that time,Very likely,Sometimes,Yes,Graduate or professional degree,We own our home, ,4,Female, ,"$24,301 to $40,890",I usually drive the car that I own, ,Email (non-specific / other)
977,Spanish,PAPER,Cuba,1975,2009,98052,Spanish,Not well,Childcare,Affordable child care resources, , ,I can make a big difference,I am very interested,Ethnic newspapers, , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Not likely at all, , ,College degree,We rent our home, ,4,Female, ,"$24,301 to $40,890","I don't own a car, so I take public transportation", , 
959,Chinese,WEB,China,1982,1999,98052,Chinese,Very well,Racism and injustice. Insurance coverage - Medicare,Discrimination/Social justice/Equality, , ,I can make a moderate difference,I am not interested,Internet,Ethnic Television,My union or work place,My community organization(s)/service provider(s),Library, , , , , , , , , ,Somewhat easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school", , , ,I am registered to vote, , , ,No,I was not registered, ,Not likely at all,Sometimes,No,College degree,We own our home, ,5,Male, ,"More than $150,000",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
960,English,WEB,India,1983,2008,98052,English,Very well,Expedited path to United States Citizenship for immigrants from India whose legal immigrants face around 20 years to get permanent residency while most other legal residents from other countries in the same category receive in 1 year.,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a big difference,I am very interested,Internet,Television in English,Newspapers in English,My union or work place, , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue, , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,Not Eligible to vote,Not likely at all,Never,No,Graduate or professional degree,We own our home, ,3,Male, ,"$100,000 to $150,000",I usually drive the car that I own, ,At work / through employer
961,English,WEB,India,1985,2008,98052,English,Very well,"path to residency and citizenship for people educated with higher degrees and in STEM fields of occupation and paying taxes, performing civic duties etc",Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a big difference,I am very interested,Internet,Friends and family,Television in English,Newspapers in English,Library, , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,I sent a message on Facebook or other social media about a social or political issue, , , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,not eligible,I don't know,Never,Yes,Graduate or professional degree,We rent our home, ,2,Male, ,"$100,000 to $150,000",I usually drive the car that I own, ,At work / through employer
962,English,WEB,India,1976,1998,98052,English,Very well,"I can't speak of all immigrant communities, but the process of becoming a permanent resident for Indians and Chinese takes forever. Most of us are stuck in our 20s and  30s to the same job which impedes our career growth and being able to grow, and contribute more to the American economy",Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a big difference,I am not interested,Friends and family, , , , , , , , , , , , , ,I have not found any,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,I have given money to an organization or candidate, , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,I was ineligible to vote,Not likely at all,Never,I don't remember,Graduate or professional degree,We own our home, ,2,Male, ,"More than $150,000",I usually drive the car that I own, ,At work / through employer
963,Chinese,WEB,China,1974,2007,98052,Chinese,Very well,You can not open shop marijuana shops in Redmond. Terrorist attacks area a problem. Various effective measures to protect from earthquakes and civil protection measures after earthquakes., Other, , ,I can make a big difference,I am very interested,Internet,Friends and family,Ethnic newspapers,My place of worship,My union or work place,My community organization(s)/service provider(s),Library, , , , , , , ,Somewhat easy,I have signed a letter about a social or political issue,"I contacted a public official through a letter, email, phone, or in-person", , , , , , , ,I am registered to vote, , , ,No,Not in the US at that time,I didn't come to United States,Very likely,Rarely,No,Graduate or professional degree,We own our home, ,3,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
964,Chinese,WEB,China,1986,2014,98052,Chinese,Not well,I don't know, Don’t know, , ,I can make a moderate difference,I am somewhat interested,Internet,Television in English, , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Never,I don't remember,Graduate or professional degree,We own our home, ,2,Female, ,"More than $150,000","I own a car, but I usually take public transportation", ,Social Media / Facebook / Online meet up groups / All online social media sites
965,English,WEB,India,1978,2000,98052,English,Very well,"For me, it is my immigration status.  I have been stuck in a rut with immigration, and I have lived in the US for 16 years now.  I have a doctorate from Ohio State and my husband holds a M.S also from Ohio St and we are both in a never-ending queue for immigration where we still dont have green cards.  This limits our job mobility and ability to travel greatly. This is not as huge a problem as others face, I know, but this is my problem. As much as I would like to participate in the electoral process here given I have lived here, paid taxes, contributed back to the community here, that is at least 6-7 years away. It is frustrating that we are just in limbo in the meantime.",Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a moderate difference,I am very interested,Internet,Radio in English, , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,I sent a message on Facebook or other social media about a social or political issue,I have given money to an organization or candidate, , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Not likely at all,Never,No,Graduate or professional degree,We own our home, ,3,Female, ,"More than $150,000",I usually drive the car that I own, ,Email (non-specific / other)
966,English,WEB,Taiwan,1963,1988,98052,Mandarin,Well,Common perception that people don't speak English are not intelligent or educated.  Immigrants and refugees want to learn English as they are committed to this new country to them.  Free English classes are limited and inconvenient to get to.  Providing more English classes in more locations with easier transportation will help them feel less excluded and improved sense of belonging., Language help/Language specific education, , ,I can make a small difference,I am somewhat interested,Internet,Ethnic Television,Friends and family,Television in English, , , , , , , , , , ,Somewhat easy,I have signed a letter about a social or political issue,I have given money to an organization or candidate, , , , , , , ,I am registered to vote, , , ,No,I was not interested in the election, ,Somewhat likely,Rarely,Yes,College degree,We own our home, ,3,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,City of Seattle (online/ email)
967,English,WEB,Bolivia,1983,2004,98052,Spanish,Very well,"Housing and employment. Regardless of immigration status, people should have a safe home where they can live and thrive in our society. Having a stable permanent home will lead them to find employment and be productive members in our country.",Affordable housing/Low income housing,Jobs/Job search/More jobs available, ,I can make a moderate difference,I am very interested,Internet,Television in English,Newspapers in English,Radio in English, , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood, , , , , , , ,I am registered to vote, , , ,No,I did not know how to fill out and submit my ballot, ,Very likely,Sometimes,No,Graduate or professional degree,We rent our home, ,2,Female, ,"$100,000 to $150,000","I own a car, but I usually take public transportation", ,City of Seattle (online/ email)
968,English,WEB,Albania,1981,1999,98052,Albanian,Very well,I feel public officials should protect immigrant families from being broken up through deportations. The hardships on other family members (often US citizen children) can be devastating and at times irreparable through social aids and programs.,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, Deportation, Family reunification,I can make a moderate difference,I am very interested,Internet,Television in English,Newspapers in English,Radio in English, , , , , , , , , , ,It is difficult,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Not likely at all,Never,No,Graduate or professional degree,We rent our home, ,4,Male, ,"$65,000 to $99,999","I own a car, but I usually take public transportation", ,Other
969,English,WEB,USSR/Russia/Soviet Union,1972,1997,98052,English,Very well,Get rid of illegal immigrants., Other, , ,I can make no difference at all,I am very interested,Internet, , , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,"I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate, , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,Graduate or professional degree,We rent our home, ,4,Male, ,"$65,000 to $99,999",I usually drive the car that I own, , 
970,Chinese,WEB,China,1982,2016,98052,Chinese,Well,security, Improve safety/Reduce crime, , ,I can make a moderate difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,Very easy,I attended a government or school board meeting in my city, , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, , , , ,Not likely at all,Sometimes,Yes,Graduate or professional degree,We own our home, ,2,Male, ,"More than $150,000",I usually drive the car that I own, ,Internet (non specific)
971,Spanish,PAPER,Mexico,1981,2002,98052,Spanish,Not well,Language language, Language help/Language specific education, , ,I can make a moderate difference,I am very interested,Internet,Ethnic Television, , , , , , , , , , , , ,Very easy,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Very likely, , ,Eighth grade or below,We rent our home, ,3,Female, ,"$11,880 or less",I usually drive the car that I own, , 
972,English,PAPER,Japan,1983,2015,98052,Japanese,Not well,Communicaiton of speak english, Language help/Language specific education, , ,I can make no difference at all,I am very interested,Internet,Television in English,Ethnic newspapers,Library, , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , , ,I was not registered, ,Very likely,Sometimes, ,College degree,We rent our home, ,2,Female, ,I don't know,I usually drive a car that I borrow, ,"GoodWill (Burien, Bellevue, Seattle and Shoreline)"
973,English,PAPER,Pakistan,1967,1987,98052,English,Very well,Islamophobia,Discrimination/Social justice/Equality, , ,I can make a moderate difference,I am very interested,Internet,Television in English,My place of worship,Radio in English, , , , , , , , , , ,Very easy,"I contacted a public official through a letter, email, phone, or in-person",I have given money to an organization or candidate, , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Some college,We rent our home, ,4,Male, ,"$65,000 to $99,999","I own a car, but I usually take public transportation", , 
974,English,PAPER,Korea,1981,1991,98052,English, ,na, , , ,I can make a small difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Rarely, ,Some college,We rent our home, ,2,Female, ,"$100,000 to $150,000",I usually drive the car that I own, , 
975,English,PAPER,India,1968,1988,98052,Hindi,Very well,Discriminatory immigration laws,Discrimination/Social justice/Equality, , ,I can make a small difference,I am very interested,Internet,Ethnic Television,Friends and family,Ethinic radio, , , , , , , , , , ,It is difficult, , , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I was not registered, ,Somewhat likely,Never, ,College degree,We own our home, ,3,Male, ,"$65,000 to $99,999",I usually drive the car that I own, , 
978,English,PAPER,Korea,1970,1988,98052,Korean,Well,Complex immigration laws,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, Affordable legal assistance, ,I can make a small difference,I am very interested,Ethnic Television,Friends and family,Television in English, , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,Not eligible to vote,Not likely at all,Never, ,College degree,We own our home, ,1,Male, ,"$40,891 to $64,999",I usually drive the car that I own, , 
979,Spanish,PAPER,Guatemala,1959,2008,98052,Spanish,Not at all, , , , ,I can make a small difference, ,Ethnic Television, , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, , ,Never, ,None,We live with relatives or friends, ,5,Female, ,"$11,881 to $24,300","I don't own a car, so I take public transportation", , 
980,English,PAPER,Iran,1959,2015,98052,Farsi,Not well,Getting a greencard to live and work,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a moderate difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , , , , ,High school graduate or GED,We live with relatives or friends, , ,Male, , , , ,"GoodWill (Burien, Bellevue, Seattle and Shoreline)"
981,Spanish,PAPER,Mexico,1971,2013,98053,Spanish,Well,na, , , ,I can make a big difference,I am somewhat interested,Internet,Ethnic Television, , , , , , , , , , , , ,Very easy,I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was out of town, ,Somewhat likely, , ,Graduate or professional degree,We own our home, ,9,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,Symposio de mujeres latinas
982,English,PAPER,China,1988,2007,98053,Chinese,Well,NA, , , ,I can make no difference at all,I am somewhat interested,Internet, , , , , , , , , , , , , ,I have not found any, , , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I was not registered, ,Very likely,Never, ,College degree,We own our home, ,2,Female, ,"More than $150,000",I usually drive the car that I own, ,Crossings TV
983,English,PAPER,Phillipines,1987,1991,98053,English,Very well,"""Labor trafficking, wage theft-general worker exploitation""",Minimum wage, , ,I can make a moderate difference,I am somewhat interested,Internet,Ethnic Television,Friends and family,My community organization(s)/service provider(s), , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,I have given money to an organization or candidate, , , , ,I am registered to vote, , , ,Yes, , ,Somewhat likely,Sometimes, ,Some college,We live with relatives or friends, ,5,Female, ,"$11,881 to $24,300",I usually drive the car that I own, ,Filipino Community and Bayan
984,English,PAPER,Vietnam,1983,1994,98053,Vietnamese,Very well,Navigate the system, Affordable legal assistance, , ,I can make a moderate difference,I am somewhat interested,Ethinic radio,My union or work place, , , , , , , , , , , , ,Somewhat easy,I have given money to an organization or candidate, , , , , , , , ,I am registered to vote, , , ,No,I did not know the location of the ballot box/I did not have access to the ballot box, ,Somewhat likely, , ,Graduate or professional degree,We own our home, ,9, , ,"$100,000 to $150,000", , ,ACRS
985,Chinese,WEB,China,1983,2012,98053,English,Very well,I think one of the biggest problems is the lack of communications to policies and decisions that could affect the entire community. There were a number of occasions where I only became aware of a policy after a decision has already been made and it became big news. I would appreciate if there is better communication to the larger population with regards to public hearings or feedbacks before decision making. Right now I do not know where to get such information., Other, , ,I can make a small difference,I am very interested,Internet,Friends and family,Television in English,Newspapers in English, , , , , , , , , ,Social Media,Very easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies",I sent a message on Facebook or other social media about a social or political issue, , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,I wasn't eligible to vote in the 2012 presidential election,Somewhat likely,Never,Yes,College degree,We own our home, ,2,Male, ,"More than $150,000",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
